STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150208,-9999,-9999,0,0,0,189,22,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150209,-9999,-9999,10,0,0,183,44,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150210,-9999,-9999,0,0,0,100,17,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150211,-9999,-9999,0,0,0,167,-16,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150212,-9999,-9999,0,0,0,56,-27,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150213,-9999,-9999,0,0,0,61,-49,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150214,-9999,-9999,0,0,0,150,-49,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150215,-9999,-9999,0,0,0,0,-88,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150216,-9999,-9999,338,0,0,28,-10,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150217,-9999,-9999,0,0,0,17,-60,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150218,-9999,-9999,5,0,8,11,-77,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150219,-9999,-9999,0,0,0,-49,-132,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150220,-9999,-9999,20,30,25,-21,-105,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150221,-9999,-9999,241,30,23,50,-27,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150222,-9999,-9999,5,0,0,78,33,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150223,-9999,-9999,3,0,0,67,-5,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150224,-9999,-9999,8,0,8,56,-27,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150225,-9999,-9999,124,150,160,28,-49,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150226,-9999,-9999,5,100,0,56,-38,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150227,-9999,-9999,0,30,0,44,-16,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150228,-9999,-9999,0,0,0,122,-16,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150301,-9999,-9999,10,0,0,100,56,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150302,-9999,-9999,30,0,0,128,72,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150303,-9999,-9999,64,0,0,128,61,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150304,-9999,-9999,64,0,0,233,89,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150305,-9999,-9999,193,0,-9999,89,-43,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150306,-9999,-9999,0,0,0,72,-55,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150307,-9999,-9999,0,0,0,167,-38,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150308,-9999,-9999,0,0,-9999,211,-10,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150309,-9999,-9999,66,0,0,156,78,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150310,-9999,-9999,66,0,0,200,111,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150311,-9999,-9999,122,0,0,222,150,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150312,-9999,-9999,13,0,0,217,128,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150313,-9999,-9999,53,0,0,156,100,-9999
GHCND:USW00013882,CHATTANOOGA LOVELL FIELD AIRPORT TN US,204.5,35.0311,-85.2014,20150314,-9999,-9999,41,0,0,172,106,-9999
